date,AAPL,IBM,GOOG,XOM,cash,port_val
2011-07-08,13033.620071411133,229014.42413330078,-29150.186729431152,0.0,835116.2053921702,1048014.062867451
2011-07-11,12826.728057861328,227067.85583496094,-28892.105674743652,0.0,835116.2053921702,1046118.6836102488
2011-07-12,12817.667770385742,225848.13079833984,-29260.873222351074,0.0,835116.2053921702,1044521.1307385447
2011-07-13,12972.386169433594,226198.49395751953,-29493.75,0.0,835116.2053921702,1044793.3355191234
2011-07-14,12963.329315185547,226081.70623779297,-28983.063888549805,0.0,835116.2053921702,1045178.177056599
2011-07-15,13222.398376464844,227781.640625,-32746.358489990234,0.0,835116.2053921702,1043373.8859036448
2011-07-18,13544.155883789062,227444.2855834961,-32599.50942993164,0.0,835116.2053921702,1043505.1374295237
2011-07-19,13654.664611816406,240329.3212890625,-33016.49513244629,0.0,835116.2053921702,1056083.6961606028
2011-07-20,14018.81332397461,238305.14068603516,-32621.973609924316,0.0,835116.2053921702,1054818.1857922557
2011-07-21,14032.94677734375,239927.16064453125,-33259.78469848633,0.0,835116.2053921702,1055816.528115559
2011-07-22,14250.710678100586,240290.5487060547,-33875.67501068115,0.0,835116.2053921702,1055781.7897656444
2011-07-25,14439.128494262695,238370.0469970703,-33916.77017211914,0.0,835116.2053921702,1054008.610711384
2011-07-26,14617.034912109375,237370.9228515625,-34110.744285583496,0.0,835116.2053921702,1052993.4188702586
2011-07-27,14224.98779296875,235320.5581665039,-33272.38578796387,0.0,835116.2053921702,1051389.365563679
2011-07-28,14197.087097167969,235904.6142578125,-33476.22299194336,0.0,835116.2053921702,1051741.6837552073
2011-07-29,14148.532104492188,235969.41986083984,-33078.96137237549,0.0,835116.2053921702,1052155.1959851268
2011-08-01,14375.716781616211,234542.10205078125,-33247.72911071777,0.0,835087.9934598926,1050758.0831815721
2011-08-02,14091.644668579102,231038.58795166016,-32460.330963134766,0.0,835087.9934598926,1047757.8951169971
2011-08-03,14224.259948730469,232050.66986083984,-32940.88020324707,0.0,835087.9934598926,1048422.0430662158
2011-08-04,13673.50845336914,222513.33618164062,-31644.98634338379,0.0,835087.9934598926,1039629.8517515186
2011-08-05,13537.628173828125,224459.6694946289,-31728.273963928223,0.0,835087.9934598926,1041357.0171644214
2011-08-08,12798.099517822266,216627.15454101562,-29918.95809173584,0.0,835087.9934598926,1034594.2894269946
2011-08-09,13551.762771606445,222348.39324951172,-31419.782257080078,0.0,835087.9934598926,1039568.3672239307
2011-08-10,13177.829360961914,211831.103515625,-30082.79323577881,0.0,835087.9934598926,1030014.1331007007
2011-08-11,13540.529251098633,217291.8441772461,-30801.699447631836,0.0,835087.9934598926,1035118.6674406055
2011-08-12,13659.7412109375,219207.62939453125,-30891.562461853027,0.0,835087.9934598926,1037063.8016035083
2011-08-15,13892.35954284668,225450.1495361328,-30533.203506469727,0.0,835087.9934598926,1043897.2990324023
2011-08-16,13786.19384765625,223169.49920654297,-29534.297561645508,0.0,835087.9934598926,1042509.3889524463
2011-08-17,13784.741592407227,223482.23114013672,-29213.75026702881,0.0,835087.9934598926,1043141.2159254077
2011-08-18,13263.344192504883,213512.28942871094,-27664.705848693848,0.0,835087.9934598926,1034198.9212324145
2011-08-19,12900.279235839844,205314.892578125,-26899.77397918701,0.0,835087.9934598926,1026403.3912946704
2011-08-22,12915.134811401367,207191.6030883789,-27297.035598754883,0.0,835087.9934598926,1027897.695760918
2011-08-23,13536.902618408203,214150.96282958984,-28428.542518615723,0.0,835087.9934598926,1034347.3163892749
2011-08-24,13630.387115478516,217330.96923828125,-28673.474884033203,0.0,835087.9934598926,1037375.8749296191
2011-08-25,13541.257095336914,215793.0908203125,-28495.39165496826,0.0,835087.9934598926,1035926.9497205737
2011-08-26,13898.515319824219,220432.70874023438,-28869.091796875,0.0,835087.9934598926,1040550.1257230762
2011-08-29,14130.053329467773,224967.9931640625,-29538.682556152344,0.0,835087.9934598926,1044647.3573972705
2011-08-30,14130.774307250977,224824.70245361328,-29627.448272705078,0.0,835087.9934598926,1044416.0219480518
2011-08-31,13943.814468383789,224042.62084960938,-29641.69635772705,0.0,835087.9934598926,1043432.7324201587
2011-09-01,13806.122589111328,221983.62884521484,-29178.13320159912,0.0,835087.9934598926,1041699.6116926196
2011-09-02,13553.20930480957,217617.63458251953,-28758.407402038574,0.0,835087.9934598926,1037500.4299451831
2011-09-06,13759.381484985352,215180.65185546875,-28612.651443481445,0.0,835087.9934598926,1035415.3753568652
2011-09-07,13911.202239990234,218047.7081298828,-29261.968421936035,0.0,835087.9934598926,1037784.9354078296
2011-09-08,13918.810272216797,215363.01727294922,-29312.92667388916,0.0,835087.9934598926,1035056.8943311694
2011-09-09,13677.493286132812,210306.4178466797,-28758.955001831055,0.0,835087.9934598926,1030312.949590874
2011-09-12,13766.627883911133,211674.8046875,-29047.722625732422,0.0,835087.9934598926,1031481.7034055713
2011-09-13,13936.203002929688,212991.10870361328,-29014.845657348633,0.0,835087.9934598926,1033000.4595090869
2011-09-14,14105.776977539062,217956.5673828125,-29154.57172393799,0.0,835087.9934598926,1037995.7660963061
2011-09-15,14238.39340209961,221670.76263427734,-29729.366874694824,0.0,835087.9934598926,1041267.7826215747
2011-09-16,14511.58676147461,225450.1495361328,-29955.12065887451,0.0,835087.9934598926,1045094.6090986255
2011-09-19,14914.875411987305,225632.68280029297,-29954.57305908203,0.0,835087.9934598926,1045680.9786130908
2011-09-20,14980.819702148438,227704.86755371094,-29952.38265991211,0.0,835087.9934598926,1047821.2980558398
2011-09-21,14933.35189819336,225489.22424316406,-29545.255851745605,0.0,835087.9934598926,1045965.3137495044
2011-09-22,14559.418487548828,219754.99420166016,-28529.36382293701,0.0,835087.9934598926,1040873.0423261645
2011-09-23,14649.275207519531,220693.3578491211,-28795.117568969727,0.0,835087.9934598926,1041635.5089475635
2011-09-26,14608.33511352539,227431.15997314453,-29144.70863342285,0.0,835087.9934598926,1047982.7799131396
2011-09-27,14466.662979125977,231601.57928466797,-29552.92854309082,0.0,835087.9934598926,1051603.3071805956
2011-09-28,14385.138702392578,231393.04656982422,-28977.583694458008,0.0,835087.9934598926,1051888.5950376512
2011-09-29,14151.791381835938,233504.35638427734,-28904.161262512207,0.0,835087.9934598926,1053839.9799634935
2011-09-30,13816.631698608398,227900.32501220703,-28221.419715881348,0.0,835087.9934598926,1048583.5304548265
2011-10-03,13573.139190673828,225841.24908447266,-27151.827239990234,0.0,835087.9934598926,1047350.5544950488
2011-10-04,13497.048568725586,227730.96771240234,-27501.41830444336,0.0,835087.9934598926,1048814.591436577
2011-10-05,13705.392837524414,230480.7159423828,-27654.84275817871,0.0,835087.9934598926,1051619.259481621
2011-10-06,13673.50845336914,236788.5955810547,-28203.33843231201,0.0,835087.9934598926,1057346.7590620043
2011-10-07,13399.21875,237700.79193115234,-28225.802612304688,0.0,835087.9934598926,1057962.20152874
2011-10-10,14088.02261352539,243213.48114013672,-29434.0238571167,0.0,835087.9934598926,1062955.4733564379
2011-10-11,14503.984451293945,241102.37274169922,-29763.34114074707,0.0,835087.9934598926,1060931.0095121386
2011-10-12,14572.827529907227,242561.96746826172,-30054.84676361084,0.0,835087.9934598926,1062167.9416944506
2011-10-13,14798.926162719727,243474.1973876953,-30629.644012451172,0.0,835087.9934598926,1062731.4729978563
2011-10-14,15290.616989135742,248309.35668945312,-32420.87860107422,0.0,835087.9934598926,1066267.088537407
2011-10-17,15217.78450012207,243174.57427978516,-31912.932586669922,0.0,835087.9934598926,1061567.4196531298
2011-10-18,15299.313354492188,233152.48260498047,-32356.767463684082,0.0,835087.9934598926,1051183.021955681
2011-10-19,14443.46923828125,231184.53063964844,-31819.23427581787,0.0,835087.9934598926,1048896.7590620043
2011-10-20,14323.538589477539,231002.0477294922,-31981.97422027588,0.0,835087.9934598926,1048431.6055585864
2011-10-21,14235.126113891602,236710.34545898438,-32355.67226409912,0.0,835087.9934598926,1053677.7927686693
2011-10-24,14702.541732788086,237518.4600830078,-32680.604553222656,0.0,835087.9934598926,1054628.3907224657
2011-10-25,14412.6708984375,235055.20935058594,-31954.02774810791,0.0,835087.9934598926,1052601.845960808
2011-10-26,14515.21224975586,237153.41033935547,-32126.630783081055,0.0,835087.9934598926,1054629.9852659227
2011-10-27,14663.409805297852,242249.21875,-32803.89213562012,0.0,835087.9934598926,1059196.7298795702
2011-10-28,14672.831726074219,244295.26977539062,-32884.43965911865,0.0,835087.9934598926,1061171.6553022387
2011-10-31,14666.67251586914,240620.1156616211,-32473.479652404785,0.0,835087.9934598926,1057901.301984978
2011-11-01,14367.022705078125,236345.34606933594,-31706.90288543701,0.0,835087.9934598926,1054093.4593488695
2011-11-02,14399.63150024414,239694.65942382812,-32044.985961914062,0.0,835087.9934598926,1057137.2984220507
2011-11-03,14604.7119140625,244099.7283935547,-32739.783096313477,0.0,835087.9934598926,1061052.6506711962
2011-11-04,14502.168273925781,242900.84991455078,-32665.26336669922,0.0,835087.9934598926,1059825.7482816698
2011-11-07,14483.695220947266,244125.81176757812,-33333.209228515625,0.0,835087.9934598926,1060364.2912199022
2011-11-08,14719.207763671875,245015.66772460938,-33552.935218811035,0.0,835087.9934598926,1061269.9337293627
2011-11-09,14322.449111938477,238460.0799560547,-32928.824615478516,0.0,835087.9934598926,1054941.697912407
2011-11-10,13957.939910888672,239912.50762939453,-32607.182121276855,0.0,835087.9934598926,1056351.2588788988
2011-11-11,13936.203002929688,245185.71319580078,-33334.304428100586,0.0,835087.9934598926,1060875.6052305223
2011-11-14,13741.99104309082,245146.45385742188,-33589.0998840332,0.0,835087.9934598926,1060387.338476372
2011-11-15,14088.748168945312,246978.2989501953,-33784.16709899902,0.0,835087.9934598926,1062370.873480034
2011-11-16,13941.637802124023,244191.2384033203,-33505.26256561279,0.0,835087.9934598926,1059715.607099724
2011-11-17,13674.956130981445,243026.70135498047,-32924.441719055176,0.0,835087.9934598926,1058865.2092267992
2011-11-18,13585.461044311523,242385.5941772461,-32596.22173309326,0.0,835087.9934598926,1058462.8269483568
2011-11-21,13370.594787597656,237465.58837890625,-31832.385063171387,0.0,835087.9934598926,1054091.791563225
2011-11-22,13642.349624633789,237243.1915283203,-31780.877113342285,0.0,835087.9934598926,1054192.6574995043
2011-11-23,13297.399520874023,232846.59881591797,-31238.95893096924,0.0,835087.9934598926,1049993.0328657152
2011-11-25,13173.48403930664,231682.06176757812,-30849.367904663086,0.0,835087.9934598926,1049094.1713621141
2011-11-28,13628.213882446289,238420.83740234375,-32229.646682739258,0.0,835087.9934598926,1054907.3980619432
2011-11-29,13522.41439819336,236759.02099609375,-31941.42665863037,0.0,835087.9934598926,1053428.0021955492
2011-11-30,13848.513793945312,245996.98333740234,-32843.344497680664,0.0,835087.9934598926,1062090.1460935595
2011-12-01,14056.134796142578,247894.25506591797,-33631.29234313965,0.0,835087.9934598926,1063407.0909788134
2011-12-02,14120.267486572266,248169.0200805664,-33992.38929748535,0.0,835087.9934598926,1063384.8917295458
2011-12-05,14240.207290649414,249713.1591796875,-34282.25212097168,0.0,835087.9934598926,1064759.1078092577
2011-12-06,14165.560913085938,252460.9603881836,-34179.23831939697,0.0,835087.9934598926,1067535.276441765
